Date,Open,High,Low,Close,SMA_20,SMA_50,Daily_Return,Volatility_20
2025-05-08,2437.98,2447.25,2382.36,2382.36,,,,
2025-05-09,2382.36,2437.98,2382.36,2410.17,,,0.01167329874578149,
2025-05-14,2345.28,2428.71,2345.28,2400.9,,,-0.0038462017202105514,
2025-05-15,2391.63,2493.6,2391.63,2465.79,,,0.027027364738223092,
2025-05-16,2512.14,2549.22,2484.33,2539.95,,,0.030075553879284067,
2025-05-19,2558.49,2651.18,2539.95,2614.1,,,0.029193488060788697,
2025-05-20,2623.37,2632.64,2539.95,2539.95,,,-0.02836540300677104,
2025-05-21,2512.14,2577.03,2493.6,2549.22,,,0.0036496781432704406,
2025-05-22,2549.22,2641.91,2549.22,2595.56,,,0.01817810938247777,
2025-05-23,2512.14,2521.41,2493.6,2493.6,,,-0.03928246698207705,
2025-05-26,2521.41,2614.1,2502.87,2595.56,,,0.040888675008020625,
2025-05-27,2632.64,2669.72,2586.3,2623.37,,,0.010714450831419864,
2025-05-28,2651.18,2660.45,2595.56,2614.1,,,-0.0035336227829090294,
2025-06-02,2577.03,2614.1,2549.22,2577.03,,,-0.014180788799204258,
2025-06-03,2577.03,2623.37,2530.68,2595.56,,,0.007190447918728138,
2025-06-04,2604.83,2651.18,2604.83,2614.1,,,0.007142967220946428,
2025-06-05,2641.91,2641.91,2614.1,2632.64,,,0.007092307103783391,
2025-06-10,2706.8,2706.8,2669.72,2697.53,,,0.024648261820833905,
2025-06-11,2750.0,2810.0,2730.0,2800.0,,,0.03798660255863684,
2025-06-12,2830.0,2830.0,2750.0,2780.0,2576.0744999999997,,-0.0071428571428571175,
2025-06-13,2770.0,2770.0,2720.0,2740.0,2593.9565,,-0.014388489208633115,0.021453072656101118
2025-06-16,2740.0,2770.0,2730.0,2740.0,2610.448,,0.0,0.021484768886485563
2025-06-17,2800.0,2800.0,2760.0,2760.0,2628.403,,0.007299270072992803,0.021342195945688053
2025-06-18,2770.0,2800.0,2760.0,2770.0,2643.6135,,0.0036231884057971175,0.02083396976623912
2025-06-19,2740.0,2780.0,2630.0,2690.0,2651.116,,-0.028880866425992746,0.021416834326813412
2025-06-20,2700.0,2710.0,2640.0,2640.0,2652.411,,-0.018587360594795488,0.021013101058593903
2025-06-23,2610.0,2610.0,2560.0,2580.0,2654.4134999999997,,-0.022727272727272707,0.02063706241726667
2025-06-24,2600.0,2670.0,2580.0,2590.0,2656.4525,,0.003875968992248069,0.020638662507407445
2025-06-25,2650.0,2650.0,2560.0,2620.0,2657.6745,,0.01158301158301156,0.020401001375643192
2025-06-26,2620.0,2710.0,2590.0,2710.0,2668.4945,,0.03435114503816794,0.019433448267960146
